3840 words found.
E (1, 2): 	sou
S (61, 69): 	wag
S (61, 9): 	law
S (62, 13): 	min
S (62, 22): 	ham
S (62, 41): 	tug
S (63, 24): 	oat
S (63, 43): 	ace
S (63, 54): 	ear
S (64, 11): 	ova
S (64, 14): 	kin
S (64, 5): 	bay
S (64, 64): 	pea
S (64, 7): 	yuh
S (65, 13): 	oft
S (65, 60): 	chi
S (65, 68): 	joy
S (66, 46): 	sew
S (66, 50): 	tell
S (66, 54): 	rue
S (66, 64): 	add
S (67, 14): 	our
S (67, 2): 	ted
S (67, 22): 	reb
S (67, 26): 	act
S (67, 4): 	tun
S (67, 50): 	ell
S (67, 57): 	sum
S (68, 2): 	edit
S (68, 25): 	elm
S (68, 39): 	sib
S (68, 45): 	pod
S (68, 54): 	era
S (69, 27): 	oar
S (69, 36): 	are
S (69, 36): 	area
S (69, 43): 	fob
S (69, 54): 	rag
S (7, 64): 	ala
S (70, 16): 	ice
S (70, 51): 	eve
S (71, 18): 	ugh
S (71, 26): 	tab
S (71, 28): 	tip
S (71, 4): 	ken
S (71, 50): 	cry
S (71, 9): 	dick
S (72, 19): 	ore
S (72, 24): 	oat
S (72, 35): 	pug
S (72, 50): 	rye
S (73, 2): 	sin
S (73, 2): 	sine
S (73, 5): 	bub
S (73, 52): 	wok
S (74, 41): 	vine
S (74, 44): 	iii
S (74, 54): 	reb
S (74, 61): 	fee
S (74, 69): 	jug
S (75, 38): 	dye
S (75, 58): 	call
S (76, 38): 	yet
S (76, 58): 	all
S (76, 61): 	eel
S (77, 24): 	jaw
S (77, 64): 	men
S (78, 18): 	hot
S (78, 28): 	ego
S (79, 2): 	wee
S (79, 25): 	die
S (79, 38): 	she
S (79, 44): 	lost
S (8, 40): 	run
S (8, 47): 	bit
S (8, 68): 	dead
S (8, 9): 	yin
S (80, 37): 	bug
S (80, 42): 	war
S (80, 51): 	noon
S (80, 7): 	ivy
S (81, 14): 	loy
S (81, 39): 	zoo
S (82, 2): 	hue
S (82, 51): 	one
S (82, 9): 	coax
S (83, 29): 	eke
S (83, 31): 	god
S (83, 38): 	viva
S (83, 55): 	tie
S (83, 67): 	pay
S (84, 10): 	cub
S (84, 11): 	big
S (84, 40): 	jut
S (84, 40): 	jute
S (84, 48): 	woo
S (84, 57): 	guy
S (84, 62): 	font
S (85, 26): 	pay
S (85, 59): 	beryl
S (85, 65): 	heft
S (86, 47): 	fro
S (86, 65): 	eft
S (87, 18): 	key
S (88, 23): 	hoi
S (88, 40): 	like
S (88, 66): 	sax
S (88, 9): 	lip
S (89, 13): 	bop
S (9, 27): 	woe
S (9, 29): 	min
S (9, 66): 	pee
S (9, 66): 	peer
S (90, 27): 	chi
S (90, 35): 	pad
S (91, 45): 	bug
S (92, 30): 	boo
S (92, 7): 	odd
S (93, 43): 	six
S (94, 27): 	grub
S (94, 41): 	hid
S (95, 27): 	rub
S (95, 38): 	wed
S (96, 15): 	ire
S (97, 38): 	did
S (97, 48): 	boo
S (97, 56): 	keel
S (98, 2): 	cue
S (98, 27): 	sun
S (98, 29): 	sec
S (98, 32): 	ova
S (98, 56): 	eel
S (99, 23): 	vamp
S (99, 43): 	bow
S (99, 51): 	max
SE (0, 22): 	vee
SE (0, 28): 	oaf
SE (0, 40): 	yin
SE (0, 52): 	ret
SE (1, 12): 	imp
SE (1, 19): 	tea
SE (1, 32): 	rat
SE (1, 47): 	lap
SE (1, 67): 	zip
SE (10, 11): 	bug
SE (10, 22): 	erg
SE (10, 37): 	zag
SE (100, 32): 	ant
SE (100, 40): 	quo
SE (100, 54): 	alb
SE (101, 30): 	nob
SE (101, 36): 	nice
SE (101, 43): 	wake
SE (101, 59): 	pub
SE (101, 9): 	due
SE (102, 18): 	flu
SE (102, 23): 	pot
SE (102, 37): 	ice
SE (103, 51): 	shah
SE (103, 67): 	hoi
SE (104, 19): 	awe
SE (104, 42): 	vie
SE (105, 3): 	scan
SE (105, 36): 	fob
SE (105, 41): 	ova
SE (105, 58): 	ale
SE (105, 6): 	zoo
SE (105, 60): 	ban
SE (106, 4): 	can
SE (106, 5): 	yaw
SE (106, 56): 	sub
SE (106, 58): 	tub
SE (106, 61): 	ani
SE (107, 48): 	mum
SE (107, 54): 	are
SE (107, 9): 	yap
SE (108, 50): 	plea
SE (108, 8): 	via
SE (109, 51): 	lea
SE (109, 53): 	oat
SE (109, 60): 	ape
SE (11, 2): 	gene
SE (11, 37): 	pad
SE (11, 38): 	ago
SE (110, 0): 	iii
SE (110, 25): 	yow
SE (110, 32): 	owl
SE (110, 48): 	wok
SE (111, 20): 	wove
SE (111, 26): 	owl
SE (111, 40): 	raj
SE (111, 54): 	mob
SE (111, 57): 	rue
SE (111, 6): 	ani
SE (111, 61): 	jar
SE (112, 4): 	sis
SE (112, 43): 	kit
SE (112, 43): 	kite
SE (112, 62): 	ark
SE (113, 22): 	vee
SE (113, 25): 	pax
SE (113, 31): 	fit
SE (113, 50): 	jam
SE (113, 52): 	rig
SE (114, 15): 	rig
SE (114, 55): 	act
SE (115, 25): 	ease
SE (115, 36): 	nut
SE (115, 7): 	via
SE (116, 13): 	vex
SE (116, 16): 	ear
SE (116, 33): 	sue
SE (116, 56): 	fob
SE (116, 61): 	dye
SE (117, 17): 	arm
SE (117, 59): 	tun
SE (117, 59): 	tune
SE (118, 21): 	womb
SE (118, 54): 	and
SE (118, 7): 	jut
SE (119, 11): 	gam
SE (119, 24): 	tao
SE (119, 48): 	hip
SE (119, 63): 	wag
SE (119, 65): 	bag
SE (12, 30): 	few
SE (12, 50): 	pie
SE (12, 64): 	rot
SE (12, 7): 	out
SE (120, 22): 	eke
SE (120, 31): 	lily
SE (121, 19): 	new
SE (121, 24): 	bop
SE (121, 44): 	vie
SE (122, 14): 	cpu
SE (122, 67): 	net
SE (123, 26): 	pep
SE (123, 42): 	join
SE (124, 12): 	hem
SE (124, 22): 	wet
SE (124, 40): 	via
SE (124, 46): 	for
SE (125, 24): 	wax
SE (125, 26): 	ani
SE (125, 35): 	mug
SE (125, 38): 	saw
SE (126, 18): 	nee
SE (126, 27): 	nit
SE (126, 57): 	lee
SE (126, 9): 	say
SE (127, 29): 	sac
SE (127, 46): 	rave
SE (127, 63): 	spy
SE (127, 64): 	woe
SE (128, 27): 	tar
SE (128, 3): 	fun
SE (128, 52): 	gee
SE (128, 55): 	poi
SE (128, 9): 	woe
SE (129, 46): 	yaw
SE (13, 0): 	oft
SE (13, 17): 	iii
SE (130, 25): 	boo
SE (130, 28): 	coo
SE (130, 41): 	guy
SE (131, 10): 	him
SE (131, 3): 	doe
SE (131, 47): 	rum
SE (131, 66): 	drab
SE (132, 22): 	wan
SE (132, 56): 	vie
SE (134, 15): 	hid
SE (135, 23): 	ivy
SE (135, 36): 	axe
SE (135, 37): 	than
SE (135, 38): 	iii
SE (135, 40): 	bey
SE (135, 52): 	bub
SE (135, 63): 	bad
SE (135, 9): 	axe
SE (136, 17): 	dais
SE (137, 10): 	eat
SE (137, 21): 	any
SE (14, 35): 	eye
SE (14, 53): 	sad
SE (14, 8): 	fly
SE (14, 9): 	tar
SE (15, 45): 	egg
SE (15, 46): 	pay
SE (16, 19): 	odd
SE (16, 47): 	aye
SE (16, 61): 	die
SE (17, 29): 	ski
SE (17, 33): 	pod
SE (17, 48): 	yea
SE (18, 39): 	hem
SE (18, 39): 	hemp
SE (18, 50): 	bay
SE (18, 61): 	ban
SE (19, 14): 	lie
SE (19, 14): 	lien
SE (19, 27): 	awn
SE (19, 34): 	rub
SE (19, 6): 	ale
SE (19, 67): 	wee
SE (2, 17): 	pit
SE (2, 17): 	pith
SE (2, 57): 	iota
SE (20, 1): 	awe
SE (20, 40): 	gush
SE (20, 45): 	mot
SE (20, 49): 	cuff
SE (20, 50): 	max
SE (20, 54): 	rap
SE (20, 7): 	lew
SE (22, 12): 	icy
SE (22, 21): 	iii
SE (22, 54): 	ace
SE (23, 0): 	rue
SE (23, 1): 	pop
SE (23, 11): 	don
SE (23, 52): 	fog
SE (23, 9): 	fop
SE (24, 11): 	bah
SE (24, 39): 	log
SE (24, 40): 	file
SE (25, 1): 	bed
SE (25, 23): 	iii
SE (25, 37): 	quo
SE (25, 45): 	oil
SE (25, 52): 	die
SE (26, 24): 	iii
SE (26, 3): 	ani
SE (26, 43): 	tea
SE (26, 54): 	pee
SE (26, 66): 	haw
SE (27, 28): 	cog
SE (27, 30): 	fun
SE (27, 62): 	til
SE (27, 62): 	tile
SE (28, 1): 	oat
SE (28, 18): 	dig
SE (28, 28): 	sec
SE (28, 39): 	doll
SE (28, 51): 	poi
SE (29, 15): 	foe
SE (29, 25): 	gal
SE (29, 50): 	few
SE (3, 25): 	bey
SE (3, 4): 	imp
SE (30, 24): 	vow
SE (30, 33): 	job
SE (30, 64): 	oaf
SE (31, 19): 	main
SE (31, 25): 	owe
SE (31, 51): 	ire
SE (31, 64): 	rig
SE (32, 1): 	chub
SE (32, 52): 	reb
SE (33, 11): 	alp
SE (33, 14): 	coo
SE (33, 2): 	hub
SE (33, 24): 	old
SE (33, 33): 	beg
SE (33, 35): 	bah
SE (33, 56): 	sob
SE (34, 13): 	qua
SE (34, 24): 	jag
SE (34, 28): 	yin
SE (34, 36): 	ahoy
SE (34, 42): 	hot
SE (34, 43): 	fit
SE (35, 18): 	yea
SE (35, 37): 	hoy
SE (35, 47): 	boo
SE (35, 7): 	lam
SE (36, 46): 	guy
SE (36, 64): 	lab
SE (36, 7): 	heel
SE (37, 8): 	eel
SE (38, 28): 	aim
SE (38, 51): 	hap
SE (38, 54): 	oust
SE (38, 62): 	ram
SE (39, 54): 	lab
SE (4, 1): 	tam
SE (4, 19): 	the
SE (4, 40): 	rho
SE (4, 59): 	tap
SE (4, 6): 	zest
SE (40, 51): 	gag
SE (40, 66): 	era
SE (40, 7): 	elk
SE (41, 39): 	tao
SE (41, 45): 	vie
SE (41, 49): 	dye
SE (41, 49): 	dyer
SE (41, 59): 	all
SE (41, 67): 	rag
SE (42, 11): 	hoe
SE (42, 35): 	auk
SE (42, 41): 	yak
SE (42, 64): 	vow
SE (43, 61): 	log
SE (43, 65): 	own
SE (45, 37): 	zap
SE (45, 9): 	pug
SE (46, 40): 	foal
SE (46, 56): 	dud
SE (47, 18): 	hot
SE (47, 24): 	ram
SE (47, 25): 	gel
SE (47, 26): 	gas
SE (47, 32): 	cry
SE (48, 25): 	ami
SE (48, 28): 	big
SE (48, 52): 	jade
SE (48, 55): 	rue
SE (48, 8): 	hue
SE (49, 12): 	gird
SE (49, 31): 	rot
SE (49, 37): 	ugh
SE (49, 5): 	cit
SE (49, 54): 	rig
SE (49, 59): 	pew
SE (49, 67): 	yak
SE (5, 1): 	fox
SE (5, 41): 	hoe
SE (5, 9): 	mug
SE (50, 3): 	floe
SE (50, 43): 	cos
SE (50, 48): 	bus
SE (50, 5): 	him
SE (50, 8): 	tid
SE (51, 25): 	leg
SE (51, 36): 	out
SE (51, 7): 	tie
SE (51, 8): 	dig
SE (52, 49): 	rosy
SE (52, 58): 	pub
SE (52, 62): 	set
SE (52, 64): 	pad
SE (53, 36): 	mix
SE (53, 38): 	tip
SE (53, 42): 	ewe
SE (53, 8): 	tin
SE (54, 40): 	cap
SE (54, 7): 	cod
SE (55, 17): 	ram
SE (55, 42): 	bee
SE (55, 56): 	ran
SE (56, 24): 	rho
SE (56, 57): 	ana
SE (57, 12): 	sue
SE (57, 52): 	oxen
SE (57, 58): 	nave
SE (58, 48): 	lye
SE (58, 50): 	hue
SE (58, 52): 	vow
SE (58, 61): 	oaf
SE (58, 62): 	eat
SE (59, 16): 	coy
SE (59, 26): 	oak
SE (59, 50): 	pig
SE (6, 35): 	sob
SE (6, 39): 	body
SE (6, 49): 	sip
SE (60, 23): 	lie
SE (60, 42): 	jab
SE (60, 44): 	ale
SE (60, 64): 	toe
SE (61, 31): 	sea
SE (61, 48): 	tax
SE (61, 8): 	jab
SE (62, 40): 	cub
SE (62, 40): 	cube
SE (62, 51): 	opt
SE (62, 53): 	wed
SE (63, 22): 	ant
SE (63, 22): 	ante
SE (63, 24): 	old
SE (63, 31): 	hey
SE (63, 33): 	aid
SE (63, 34): 	are
SE (65, 22): 	hoi
SE (65, 24): 	tea
SE (65, 3): 	yip
SE (65, 36): 	elm
SE (65, 38): 	raw
SE (65, 66): 	icy
SE (66, 2): 	snub
SE (66, 31): 	era
SE (66, 34): 	wake
SE (66, 38): 	bid
SE (66, 5): 	you
SE (67, 15): 	via
SE (67, 21): 	den
SE (68, 25): 	eta
SE (68, 28): 	cam
SE (68, 28): 	came
SE (69, 18): 	awe
SE (69, 26): 	tat
SE (69, 34): 	eve
SE (7, 30): 	tee
SE (7, 34): 	vie
SE (7, 4): 	hoc
SE (7, 45): 	iii
SE (70, 35): 	vex
SE (70, 64): 	elk
SE (71, 14): 	wive
SE (71, 2): 	tan
SE (71, 24): 	reb
SE (71, 28): 	thou
SE (72, 26): 	any
SE (72, 46): 	bat
SE (72, 58): 	ire
SE (73, 16): 	vee
SE (74, 0): 	ibex
SE (74, 15): 	fum
SE (75, 18): 	etc
SE (75, 23): 	bug
SE (75, 34): 	vat
SE (75, 38): 	dad
SE (75, 44): 	ire
SE (75, 6): 	air
SE (75, 8): 	vii
SE (75, 8): 	viii
SE (76, 53): 	disk
SE (76, 6): 	query
SE (76, 9): 	iii
SE (77, 42): 	oil
SE (77, 48): 	pot
SE (77, 5): 	axon
SE (78, 58): 	lie
SE (78, 66): 	wok
SE (78, 66): 	woke
SE (79, 0): 	dye
SE (79, 25): 	die
SE (79, 33): 	serf
SE (79, 46): 	wet
SE (8, 37): 	boa
SE (8, 45): 	met
SE (8, 53): 	judo
SE (8, 54): 	dye
SE (8, 55): 	wok
SE (80, 1): 	yen
SE (80, 39): 	was
SE (80, 55): 	sir
SE (81, 18): 	ewe
SE (81, 27): 	ewe
SE (81, 29): 	pug
SE (81, 41): 	ire
SE (81, 55): 	tam
SE (82, 56): 	ami
SE (82, 9): 	cub
SE (83, 25): 	nolo
SE (83, 33): 	yah
SE (84, 11): 	bam
SE (84, 28): 	very
SE (84, 42): 	nab
SE (84, 60): 	sen
SE (85, 6): 	err
SE (86, 14): 	mid
SE (86, 53): 	inch
SE (86, 65): 	egg
SE (87, 11): 	rub
SE (87, 23): 	fed
SE (87, 3): 	bow
SE (87, 50): 	jug
SE (87, 67): 	the
SE (88, 1): 	era
SE (88, 34): 	ivy
SE (88, 62): 	jar
SE (89, 12): 	col
SE (89, 13): 	bug
SE (89, 2): 	ray
SE (89, 46): 	fry
SE (89, 62): 	tea
SE (89, 7): 	tan
SE (9, 27): 	win
SE (9, 29): 	miss
SE (90, 21): 	viz
SE (90, 6): 	dam
SE (91, 1): 	wah
SE (92, 15): 	sea
SE (92, 16): 	born
SE (92, 5): 	sad
SE (92, 60): 	due
SE (93, 12): 	van
SE (93, 43): 	sod
SE (94, 13): 	ani
SE (94, 41): 	hit
SE (94, 47): 	dam
SE (95, 15): 	yow
SE (95, 57): 	awe
SE (96, 19): 	sap
SE (96, 41): 	die
SE (97, 23): 	sob
SE (97, 26): 	ass
SE (97, 55): 	gee
SE (97, 66): 	mug
SE (98, 14): 	tor
SE (98, 46): 	vii
SE (99, 4): 	sum
SE (99, 41): 	now
SE (99, 50): 	gad
SE (99, 6): 	aye
SE (99, 7): 	god
SE (99, 9): 	gap
SW (0, 29): 	hob
SW (0, 30): 	ray
SW (0, 33): 	arm
SW (0, 35): 	real
SW (0, 47): 	hoar
SW (1, 16): 	tap
SW (1, 42): 	woo
SW (1, 46): 	oar
SW (10, 13): 	pun
SW (10, 20): 	huh
SW (10, 4): 	bee
SW (10, 5): 	ice
SW (10, 67): 	hem
SW (100, 5): 	ugh
SW (101, 6): 	mop
SW (101, 61): 	mum
SW (101, 65): 	nil
SW (102, 27): 	bet
SW (103, 29): 	aim
SW (103, 32): 	beau
SW (103, 58): 	fin
SW (104, 22): 	hue
SW (104, 33): 	sly
SW (104, 46): 	ere
SW (104, 59): 	bag
SW (104, 63): 	ala
SW (104, 65): 	loon
SW (106, 16): 	bub
SW (106, 50): 	wag
SW (106, 6): 	nab
SW (106, 7): 	oaf
SW (106, 8): 	ken
SW (106, 9): 	bow
SW (107, 13): 	pap
SW (107, 13): 	papa
SW (108, 36): 	ugh
SW (108, 57): 	keg
SW (108, 60): 	bog
SW (108, 65): 	fib
SW (109, 11): 	pad
SW (109, 19): 	ago
SW (11, 22): 	arc
SW (11, 28): 	boo
SW (110, 18): 	god
SW (110, 39): 	miff
SW (111, 19): 	hat
SW (111, 29): 	lad
SW (111, 40): 	rub
SW (111, 42): 	had
SW (112, 44): 	beg
SW (113, 41): 	oil
SW (113, 43): 	ego
SW (113, 56): 	bag
SW (113, 60): 	coo
SW (113, 60): 	coot
SW (113, 62): 	lap
SW (114, 42): 	god
SW (114, 51): 	abut
SW (114, 7): 	per
SW (115, 37): 	lew
SW (115, 43): 	ire
SW (115, 50): 	but
SW (115, 69): 	sis
SW (116, 20): 	fur
SW (116, 24): 	pod
SW (116, 27): 	raw
SW (116, 30): 	gee
SW (116, 40): 	dug
SW (116, 46): 	ago
SW (116, 69): 	fan
SW (116, 7): 	die
SW (117, 13): 	mug
SW (117, 63): 	can
SW (117, 63): 	canal
SW (117, 64): 	fee
SW (118, 62): 	ana
SW (118, 65): 	ell
SW (119, 3): 	aft
SW (12, 12): 	pax
SW (12, 32): 	sex
SW (120, 28): 	bid
SW (120, 29): 	ten
SW (120, 47): 	iii
SW (120, 60): 	alto
SW (121, 64): 	quo
SW (122, 58): 	too
SW (123, 50): 	his
SW (124, 52): 	the
SW (124, 64): 	cod
SW (124, 69): 	tau
SW (125, 23): 	ell
SW (125, 51): 	hew
SW (126, 13): 	sly
SW (126, 47): 	arm
SW (127, 10): 	awe
SW (127, 55): 	eve
SW (127, 68): 	lie
SW (128, 11): 	yoke
SW (128, 29): 	tad
SW (128, 4): 	fig
SW (129, 28): 	ado
SW (129, 5): 	pod
SW (129, 66): 	etc
SW (13, 42): 	hue
SW (130, 17): 	cup
SW (130, 2): 	gum
SW (130, 25): 	boa
SW (131, 19): 	cud
SW (131, 22): 	met
SW (131, 28): 	cod
SW (131, 58): 	mow
SW (132, 10): 	fled
SW (132, 15): 	par
SW (132, 9): 	bye
SW (133, 14): 	arc
SW (133, 17): 	dad
SW (133, 26): 	dip
SW (133, 30): 	axe
SW (133, 35): 	she
SW (133, 46): 	cud
SW (133, 9): 	led
SW (134, 14): 	wile
SW (135, 32): 	auk
SW (135, 56): 	bub
SW (136, 12): 	lew
SW (136, 23): 	got
SW (136, 24): 	van
SW (136, 42): 	min
SW (136, 59): 	tip
SW (137, 23): 	ani
SW (137, 40): 	ice
SW (137, 44): 	aim
SW (14, 12): 	fay
SW (14, 58): 	vex
SW (15, 25): 	pet
SW (15, 39): 	bomb
SW (15, 46): 	pea
SW (15, 63): 	car
SW (15, 65): 	nag
SW (16, 3): 	rut
SW (17, 14): 	ani
SW (17, 29): 	shay
SW (17, 46): 	jay
SW (17, 68): 	quo
SW (17, 68): 	quod
SW (18, 24): 	tam
SW (18, 28): 	hay
SW (18, 34): 	ova
SW (18, 39): 	hug
SW (18, 41): 	fed
SW (18, 52): 	same
SW (18, 61): 	bud
SW (19, 16): 	nil
SW (19, 23): 	ami
SW (19, 49): 	yin
SW (19, 50): 	ace
SW (19, 59): 	sen
SW (19, 6): 	ala
SW (2, 19): 	air
SW (2, 21): 	wet
SW (2, 45): 	arm
SW (2, 47): 	ban
SW (2, 48): 	ala
SW (2, 48): 	alai
SW (2, 58): 	wet
SW (2, 67): 	pin
SW (2, 67): 	pink
SW (20, 47): 	joke
SW (20, 65): 	dose
SW (21, 13): 	did
SW (22, 20): 	zag
SW (22, 33): 	hum
SW (22, 5): 	soy
SW (22, 58): 	awe
SW (23, 13): 	cop
SW (23, 50): 	jag
SW (23, 51): 	age
SW (24, 13): 	dam
SW (24, 22): 	eft
SW (24, 3): 	yen
SW (24, 61): 	lust
SW (24, 65): 	out
SW (25, 3): 	pet
SW (25, 43): 	slam
SW (26, 40): 	box
SW (26, 42): 	lam
SW (26, 53): 	imp
SW (26, 68): 	mack
SW (28, 34): 	tot
SW (28, 50): 	lux
SW (29, 2): 	axe
SW (29, 36): 	ado
SW (29, 64): 	lea
SW (3, 24): 	hid
SW (3, 24): 	hide
SW (3, 26): 	gig
SW (3, 38): 	iii
SW (3, 45): 	joy
SW (3, 56): 	fan
SW (3, 64): 	rub
SW (3, 66): 	ink
SW (30, 65): 	ere
SW (31, 68): 	hog
SW (32, 18): 	cog
SW (32, 22): 	vie
SW (32, 49): 	lie
SW (32, 52): 	rum
SW (33, 18): 	boo
SW (33, 49): 	fob
SW (33, 58): 	bob
SW (34, 16): 	guy
SW (34, 23): 	lap
SW (34, 30): 	fit
SW (34, 64): 	cud
SW (35, 27): 	ego
SW (35, 57): 	elm
SW (36, 16): 	ice
SW (37, 23): 	poi
SW (37, 28): 	war
SW (37, 50): 	per
SW (38, 29): 	tax
SW (38, 64): 	jay
SW (38, 66): 	bum
SW (39, 18): 	wet
SW (39, 19): 	ace
SW (39, 20): 	sift
SW (39, 30): 	tao
SW (39, 32): 	vii
SW (39, 37): 	oft
SW (39, 67): 	new
SW (39, 8): 	mess
SW (4, 19): 	tot
SW (4, 9): 	pie
SW (40, 53): 	pad
SW (40, 8): 	tum
SW (40, 9): 	ill
SW (41, 16): 	tee
SW (41, 20): 	ouch
SW (41, 49): 	due
SW (42, 13): 	toe
SW (42, 35): 	aim
SW (42, 51): 	dim
SW (42, 66): 	mow
SW (43, 45): 	cog
SW (43, 63): 	toy
SW (43, 8): 	urn
SW (44, 46): 	sad
SW (44, 48): 	sip
SW (44, 65): 	ova
SW (45, 16): 	trim
SW (45, 26): 	her
SW (45, 3): 	for
SW (45, 38): 	men
SW (45, 39): 	raze
SW (45, 45): 	ado
SW (46, 15): 	rim
SW (46, 33): 	ice
SW (46, 46): 	pill
SW (46, 56): 	deja
SW (47, 22): 	mat
SW (47, 26): 	gar
SW (47, 45): 	ill
SW (48, 10): 	put
SW (48, 10): 	putt
SW (48, 18): 	too
SW (48, 3): 	qua
SW (48, 49): 	off
SW (48, 65): 	hob
SW (49, 42): 	woe
SW (49, 54): 	reb
SW (49, 58): 	keg
SW (49, 59): 	put
SW (49, 65): 	pet
SW (5, 32): 	hat
SW (5, 43): 	yon
SW (5, 60): 	auk
SW (5, 63): 	gag
SW (50, 37): 	bob
SW (50, 48): 	bad
SW (50, 63): 	bub
SW (51, 12): 	egg
SW (51, 13): 	gut
SW (51, 33): 	tid
SW (51, 44): 	ore
SW (51, 64): 	tin
SW (52, 23): 	ham
SW (52, 58): 	pot
SW (52, 64): 	peg
SW (53, 3): 	via
SW (54, 12): 	way
SW (54, 35): 	rag
SW (54, 5): 	yon
SW (54, 51): 	say
SW (55, 40): 	pulp
SW (55, 65): 	lam
SW (55, 65): 	lame
SW (56, 2): 	jag
SW (56, 66): 	eke
SW (57, 10): 	gap
SW (57, 34): 	ear
SW (57, 37): 	oak
SW (57, 4): 	hue
SW (57, 6): 	may
SW (58, 22): 	lip
SW (58, 48): 	law
SW (58, 8): 	tot
SW (59, 13): 	ire
SW (59, 47): 	awl
SW (59, 56): 	knew
SW (59, 68): 	nit
SW (6, 39): 	bob
SW (6, 46): 	pin
SW (6, 51): 	sin
SW (6, 54): 	ace
SW (6, 60): 	too
SW (6, 8): 	sen
SW (60, 37): 	rat
SW (60, 37): 	rata
SW (60, 43): 	hit
SW (60, 53): 	ago
SW (60, 55): 	new
SW (61, 10): 	pax
SW (61, 64): 	raw
SW (61, 67): 	gee
SW (62, 13): 	moo
SW (62, 55): 	yet
SW (63, 30): 	ear
SW (63, 44): 	act
SW (63, 45): 	due
SW (64, 46): 	fox
SW (64, 5): 	bon
SW (64, 64): 	pee
SW (65, 15): 	ant
SW (65, 24): 	tor
SW (65, 24): 	torr
SW (65, 58): 	pea
SW (66, 39): 	ami
SW (66, 53): 	nap
SW (66, 6): 	cpu
SW (67, 30): 	mutate
SW (67, 36): 	hoe
SW (68, 20): 	tag
SW (68, 26): 	cloy
SW (68, 28): 	coy
SW (68, 30): 	jar
SW (68, 59): 	nor
SW (68, 69): 	ire
SW (69, 19): 	age
SW (69, 25): 	loy
SW (69, 28): 	tat
SW (69, 28): 	tate
SW (69, 44): 	hoe
SW (69, 68): 	rev
SW (7, 19): 	try
SW (7, 29): 	row
SW (7, 44): 	may
SW (7, 5): 	inn
SW (7, 60): 	ami
SW (70, 18): 	gee
SW (70, 27): 	ate
SW (70, 30): 	main
SW (71, 26): 	tea
SW (71, 35): 	sly
SW (71, 65): 	lie
SW (72, 18): 	gap
SW (72, 62): 	ire
SW (72, 8): 	pug
SW (73, 15): 	pad
SW (73, 33): 	yow
SW (73, 48): 	lug
SW (74, 14): 	add
SW (74, 62): 	hen
SW (74, 63): 	bye
SW (75, 10): 	air
SW (75, 30): 	ewe
SW (76, 36): 	deus
SW (76, 38): 	yen
SW (76, 42): 	lew
SW (77, 12): 	mix
SW (77, 27): 	gad
SW (78, 18): 	haw
SW (78, 20): 	let
SW (78, 26): 	add
SW (78, 62): 	one
SW (79, 45): 	log
SW (79, 57): 	ret
SW (79, 60): 	wig
SW (8, 26): 	far
SW (8, 34): 	rap
SW (8, 37): 	bel
SW (8, 51): 	ppm
SW (8, 62): 	erg
SW (8, 68): 	doe
SW (80, 21): 	bow
SW (80, 37): 	bye
SW (80, 60): 	elm
SW (81, 55): 	tress
SW (81, 57): 	cat
SW (81, 64): 	aqua
SW (81, 65): 	boa
SW (82, 33): 	who
SW (82, 4): 	ice
SW (82, 44): 	ten
SW (82, 61): 	ski
SW (82, 63): 	qua
SW (82, 63): 	quay
SW (82, 64): 	oaf
SW (83, 17): 	rid
SW (83, 20): 	ebb
SW (83, 32): 	hoy
SW (83, 49): 	awe
SW (83, 66): 	bud
SW (83, 68): 	pave
SW (84, 21): 	junk
SW (84, 5): 	ski
SW (84, 61): 	aye
SW (85, 27): 	lab
SW (85, 34): 	past
SW (85, 34): 	paste
SW (87, 22): 	per
SW (87, 32): 	stew
SW (87, 54): 	nag
SW (88, 46): 	pee
SW (88, 46): 	peer
SW (88, 55): 	cut
SW (89, 19): 	era
SW (89, 3): 	low
SW (89, 46): 	fur
SW (89, 49): 	cup
SW (9, 11): 	bey
SW (9, 14): 	spun
SW (9, 31): 	kin
SW (9, 37): 	gab
SW (90, 23): 	iii
SW (90, 32): 	alb
SW (91, 27): 	her
SW (91, 27): 	hero
SW (92, 49): 	ted
SW (92, 5): 	sue
SW (92, 68): 	cox
SW (93, 20): 	led
SW (93, 21): 	pan
SW (93, 33): 	gal
SW (93, 55): 	eke
SW (93, 63): 	fed
SW (94, 10): 	fay
SW (94, 20): 	ani
SW (94, 40): 	wee
SW (94, 51): 	yam
SW (94, 54): 	key
SW (94, 58): 	nay
SW (94, 9): 	cap
SW (95, 32): 	jut
SW (95, 8): 	apt
SW (96, 11): 	hum
SW (97, 51): 	jog
SW (97, 58): 	fee
SW (97, 67): 	raj
SW (98, 28): 	pug
SW (99, 57): 	ell
W (0, 19): 	chi
W (0, 29): 	hoy
W (0, 30): 	rho
W (0, 51): 	owe
W (0, 52): 	row
W (0, 6): 	bee
W (0, 61): 	cup
W (1, 47): 	loy
W (10, 19): 	ivy
W (10, 21): 	chi
W (10, 30): 	iii
W (10, 36): 	ala
W (10, 58): 	eke
W (10, 6): 	fib
W (100, 16): 	raw
W (100, 24): 	case
W (100, 34): 	via
W (100, 51): 	ape
W (100, 52): 	zap
W (101, 36): 	nun
W (101, 4): 	gee
W (102, 36): 	fat
W (103, 14): 	pop
W (103, 14): 	pope
W (103, 19): 	lucy
W (103, 28): 	roe
W (104, 33): 	sue
